"Übermittelte Rotavirus-Fälle nach Monat und Altersgruppe, Deutschland, 2013, Bundesländer: Brandenburg; Fälle entsprechend der Referenzdefinition des RKI; Datenstand: 19.02.2014",,,,,,,,,,,,,,,,
Jahr,Monat,00..00,01..01,02..02,03..03,04..04,05..09,10..14,15..19,20..24,25..29,30..39,40..49,50..59,60..69,70
2002,1,141,135,43,13,5,11,5,2,2,6,8,0,2,6,12
2002,2,189,221,103,33,10,21,5,2,6,5,11,6,6,12,24
2002,3,181,214,111,39,19,27,12,7,7,5,13,14,11,18,18
2002,4,166,169,83,32,20,25,16,4,6,9,8,17,16,18,21
2002,5,42,46,19,7,3,8,6,5,7,2,5,9,6,10,8
2002,6,14,14,5,4,1,2,1,2,0,2,5,2,6,8,11
2002,7,9,3,3,5,1,5,3,2,0,0,11,0,2,4,10
2002,8,2,8,4,5,0,4,6,1,3,3,3,4,2,3,0
2002,9,8,7,4,2,5,3,2,1,1,0,2,5,2,4,6
2002,10,11,10,4,4,2,3,1,1,0,0,3,7,3,7,8
2002,11,14,5,4,2,2,2,2,2,2,2,2,2,1,4,7
2002,12,33,24,7,1,3,3,4,2,1,1,3,0,2,6,13
2003,1,177,117,61,16,10,15,3,4,1,1,8,2,4,4,8
2003,2,202,193,119,37,21,31,5,6,7,3,15,11,10,9,42
2003,3,178,218,136,34,24,39,10,9,10,3,14,13,14,9,94
2003,4,107,92,69,28,9,25,8,3,7,5,9,13,12,13,57
2003,5,37,52,25,7,6,13,4,3,3,1,10,5,4,6,16
2003,6,10,11,5,3,2,3,1,0,1,2,0,5,3,2,0
2003,7,7,4,4,1,0,1,0,1,0,1,1,1,0,2,5
2003,8,0,3,1,0,0,0,2,0,0,0,0,0,0,2,1
2003,9,5,3,2,0,0,0,2,1,0,1,0,2,1,2,3
2003,10,1,3,1,0,2,3,0,3,0,1,2,0,3,0,1
2003,11,10,3,1,2,1,3,0,0,0,0,1,0,1,2,2
2003,12,43,22,5,3,1,6,1,1,0,1,2,4,3,4,5
